Date;Births;Deaths;Interstate Arrivals;Interstate Departures;Overseas Arrivals;Overseas Departures
1.06.1981;60300;26700;78000;78000;48200;19100
1.09.1981;61000;31500;76600;76600;50000;19100
1.12.1981;55000;25700;65900;65900;56700;21700
1.03.1982;60600;26100;70300;70300;58700;26300
1.06.1982;60500;27700;81700;81700;45300;20500
1.09.1982;60300;33900;66900;66900;45600;21200
1.12.1982;58600;27100;58700;58700;45600;24300
1.03.1983;61900;25600;57500;57500;47400;29300
1.06.1983;61000;26400;71000;71000;34100;22500
1.09.1983;62000;31900;62400;62400;34200;23900
1.12.1983;57600;26200;52400;52400;37800;24800
1.03.1984;61100;25900;62800;62800;41300;27000
1.06.1984;59800;26900;67300;67300;32000;23000
1.09.1984;60700;31900;65700;65700;36800;22000
1.12.1984;56900;27200;58900;58900;43400;24400
1.03.1985;62300;26600;67800;67800;46500;26400
1.06.1985;62000;28500;74500;74500;36500;22500
1.09.1985;60800;35100;72500;72500;40900;21400
1.12.1985;57800;26700;67600;67600;48700;23100
1.03.1986;60000;26800;76300;76300;53600;26200
1.06.1986;60500;27500;77800;77800;43200;21800
1.09.1986;60800;31900;70700;70700;47200;21200
1.12.1986;62200;28700;65300;65300;52700;23200
1.03.1987;59100;27100;90500;90500;57100;28200
1.06.1987;60800;28400;73900;73900;47500;22600
1.09.1987;61500;32300;76100;76100;54200;22900
1.12.1987;62600;29600;72900;72900;62800;24000
1.03.1988;61500;29900;101600;101600;69800;28000
1.06.1988;60600;28700;83900;83900;55400;24100
1.09.1988;62200;33600;83900;83900;62500;24800
1.12.1988;62000;27600;77100;77100;66100;27900
1.03.1989;63400;27800;109900;109900;67900;32600
1.06.1989;62700;29800;94900;94900;53400;27300
1.09.1989;61900;36900;85600;85600;57500;28200
1.12.1989;62900;29800;72600;72600;59300;31900
1.03.1990;65000;29200;105200;105200;64300;35900
1.06.1990;67700;29200;84300;84300;50800;32100
1.09.1990;65800;33000;78100;78100;58700;32600
1.12.1990;64100;28700;72800;72800;60200;36900
1.03.1991;64900;28600;100100;100100;68500;39900
1.06.1991;66300;29300;79700;79700;49000;32200
1.09.1991;65300;33000;73800;73800;60100;33500
1.12.1991;62800;28800;73500;73500;59600;38100
1.03.1992;65700;27300;105200;105200;68300;40200
1.06.1992;65800;31700;80100;80100;46100;32500
1.09.1992;67200;34400;94300;94300;52400;33200
1.12.1992;63900;29600;86300;86300;53700;37700
1.03.1993;64300;27100;111600;111600;59300;38800
1.06.1993;65100;30300;79000;79000;38400;31400
1.09.1993;66000;33500;78600;78600;49300;33000
1.12.1993;63700;29900;70400;70400;50900;37300
1.03.1994;65300;28500;100400;100400;63500;37800
1.06.1994;63900;31600;80100;80100;43700;32000
1.09.1994;66000;36700;82300;82300;56600;33100
1.12.1994;63800;30200;73600;73600;58200;38900
1.03.1995;64500;27800;107100;107100;73300;40800
1.06.1995;64300;31500;96000;96000;50500;32700
1.09.1995;65300;35000;77800;77800;64000;35000
1.12.1995;61200;30800;80100;80100;66200;40800
1.03.1996;62300;28900;106700;106700;82700;43000
1.06.1996;62000;31700;84800;84800;49900;34200
1.09.1996;65300;37100;87300;87300;64300;36700
1.12.1996;63800;30500;103700;103700;64400;44300
1.03.1997;61600;28400;93100;93100;82700;46600
1.06.1997;63600;31400;90000;90000;49500;38900
1.09.1997;64500;38000;82100;82100;65100;42200
1.12.1997;62100;31000;103700;103700;62900;48800
1.03.1998;60900;28400;88600;88600;83400;49700
1.06.1998;62300;31800;89400;89400;54100;45600
1.09.1998;64300;36400;80100;80100;67600;41100
1.12.1998;61500;30800;102000;102000;63300;43200
1.03.1999;62200;28800;87200;87200;85400;50300
1.06.1999;62700;32200;89200;89200;55600;40800
1.09.1999;64800;35900;81300;81300;75300;45500
1.12.1999;61400;31200;103100;103100;73600;49000
1.03.2000;62200;28900;91800;91800;93900;56400
1.06.2000;62100;32300;91300;91300;62400;46900
1.09.2000;64100;36300;84600;84600;80200;48300
1.12.2000;62300;31400;110500;110500;81000;54400
1.03.2001;61100;29200;92700;92700;116100;61300
1.06.2001;61800;32100;93100;93100;71200;48800
1.09.2001;64200;35200;85600;85600;88800;53100
1.12.2001;60800;32300;103300;103300;80400;52900
1.03.2002;62500;29600;97300;97300;113900;63400
1.06.2002;61900;33100;97900;97900;70300;50300
1.09.2002;63900;38100;91400;91400;93600;53600
1.12.2002;61800;32200;112900;112900;84200;55700
1.03.2003;61000;29400;96600;96600;122000;61600
1.06.2003;62500;32500;97700;97700;74100;48700
1.09.2003;64900;37800;90000;90000;101700;54300
1.12.2003;62300;32100;108300;108300;90700;60300
1.03.2004;63500;30300;96400;96400;128900;66000
1.06.2004;61300;33000;91800;91800;80000;56100
1.09.2004;65000;36800;81400;81400;107700;57000
1.12.2004;61700;32300;100700;100700;95900;64600
1.03.2005;64600;29500;89800;89800;138700;69900
1.06.2005;67000;32800;87100;87100;84600;57500
1.09.2005;68100;36500;76800;76800;114100;59000
1.12.2005;65900;32600;97500;97500;104900;65400
1.03.2006;65300;30700;85600;85600;146000;72400
1.06.2006;66800;34200;82900;82900;92400;61400
1.09.2006;72600;36400;77300;77300;108400;51500
1.12.2006;69700;33200;99400;99400;105000;54400
1.03.2007;72700;31600;90600;90600;125200;49200
1.06.2007;72300;34800;91900;91900;98800;49600
1.09.2007;75600;39300;82000;82000;120100;57300
1.12.2007;72600;34100;98900;98900;116400;60400
1.03.2008;74100;32200;92300;92300;146600;53100
1.06.2008;72900;35100;88200;88200;118200;53100
1.09.2008;76700;40500;81100;81100;139000;54900
1.12.2008;74600;34600;103000;103000;132200;59100
1.03.2009;73900;33100;88800;88800;143200;54500
1.06.2009;74900;35500;87600;87600;105400;51400
1.09.2009;76500;38000;75800;75800;122600;60100
1.12.2009;75500;35000;91700;91700;107600;65900
1.03.2010;76000;32700;82000;82000;119200;59400
1.06.2010;76000;35800;82400;82400;88500;56500
1.09.2010;76300;38500;75500;75500;109600;67800
1.12.2010;72500;35800;95500;95500;107800;69400
1.03.2011;76000;33800;84400;84400;120400;59500
1.06.2011;76300;37400;83000;83000;94000;54700
1.09.2011;76200;39600;80500;80500;117700;62300
1.12.2011;74200;36100;102900;102900;116900;66300
1.03.2012;78100;34100;89100;89100;128700;54700
1.06.2012;77500;37500;85400;85400;104000;52100
1.09.2012;78700;42200;76800;76800;125900;62500
1.12.2012;77900;35400;88100;88100;119700;68800
1.03.2013;77400;34200;90500;90500;134200;63000
1.06.2013;77100;37300;90100;90100;102200;57500
1.09.2013;76900;39700;78800;78800;128100;73900
1.12.2013;75700;37000;100700;100700;114100;76000
1.03.2014;77500;34900;93300;93300;128200;63100
1.06.2014;76900;38500;84900;84900;94300;63900
1.09.2014;79000;43100;71800;71800;123300;73100
1.12.2014;77100;37500;94000;94000;113000;76300
1.03.2015;76200;35800;87200;87200;130000;66300
1.06.2015;75400;39500;91000;91000;98900;65600
1.09.2015;78800;44100;78100;78100;127400;77000
1.12.2015;75900;38000;99000;99000;116900;77600
1.03.2016;78800;36100;94700;94700;138100;65100
1.06.2016;78200;39200;100100;100100;106800;63300
1.09.2016;79000;43700;79600;79600;145200;71600
1.12.2016;75800;39600;107300;107300;129400;75900
1.03.2017;76700;36800;94000;94000;155100;66400
1.06.2017;76300;40100;95700;95700;110300;63000
1.09.2017;77700;47400;85700;85700;145200;75400
1.12.2017;74500;38900;111500;111500;120800;84900
1.03.2018;76500;36300;98200;98200;151000;65900
1.06.2018;75900;39400;97300;97300;110600;63100
1.09.2018;76500;43300;87200;87200;148600;74700
1.12.2018;75300;39500;116100;116100;124200;78500
1.03.2019;76500;38400;100400;100400;153200;69600
1.06.2019;76400;41900;100300;100300;124400;86200
1.09.2019;78000;45800;86800;86800;164500;90000
1.12.2019;75300;41000;108600;108600;167300;114300
1.03.2020;75300;39900;87800;87800;163900;90000
1.06.2020;75500;40400;85500;85500;13800;20900
1.09.2020;73500;42900;76200;76200;20600;55400